AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2021-05-01,67001,ALBA ADRIATICA,TE,701,5109
2021-05-01,67002,ANCARANO,TE,156,669
2021-05-01,67003,ARSITA,TE,66,411
2021-05-01,67004,ATRI,TE,787,8484
2021-05-01,67005,BASCIANO,TE,250,1574
2021-05-01,67006,BELLANTE,TE,519,3845
2021-05-01,67007,BISENTI,TE,171,1156
2021-05-01,67008,CAMPLI,TE,639,4483
2021-05-01,67009,CANZANO,TE,164,1206
2021-05-01,67010,CASTEL CASTAGNA,TE,57,202
2021-05-01,67011,CASTELLALTO,TE,707,4631
2021-05-01,67012,CASTELLI,TE,86,523
2021-05-01,67013,CASTIGLIONE MESSER RAIMONDO,TE,134,1291
2021-05-01,67014,CASTILENTI,TE,165,944
2021-05-01,67015,CELLINO ATTANASIO,TE,209,1126
2021-05-01,67016,CERMIGNANO,TE,212,1031
2021-05-01,67017,CIVITELLA DEL TRONTO,TE,532,2987
2021-05-01,67018,COLLEDARA,TE,136,1069
2021-05-01,67019,COLONNELLA,TE,354,1206
2021-05-01,67020,CONTROGUERRA,TE,129,957
2021-05-01,67021,CORROPOLI,TE,287,2199
2021-05-01,67022,CORTINO,TE,42,304
2021-05-01,67023,CROGNALETO,TE,213,1040
2021-05-01,67024,FANO ADRIANO,TE,15,148
2021-05-01,67025,GIULIANOVA,TE,2080,15055
2021-05-01,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,489,2955
2021-05-01,67047,MARTINSICURO,TE,1280,5869
2021-05-01,67027,MONTEFINO,TE,78,542
2021-05-01,67028,MONTORIO AL VOMANO,TE,1054,6078
2021-05-01,67029,MORRO D'ORO,TE,405,1874
2021-05-01,67030,MOSCIANO SANT'ANGELO,TE,705,5282
2021-05-01,67031,NERETO,TE,464,3587
2021-05-01,67032,NOTARESCO,TE,541,3316
2021-05-01,67033,PENNA SANT'ANDREA,TE,120,923
2021-05-01,67034,PIETRACAMELA,TE,3,83
2021-05-01,67035,PINETO,TE,1030,7673
2021-05-01,67036,ROCCA SANTA MARIA,TE,64,470
2021-05-01,67037,ROSETO DEGLI ABRUZZI,TE,1661,12010
2021-05-01,67038,SANT'EGIDIO ALLA VIBRATA,TE,633,3664
2021-05-01,67039,SANT'OMERO,TE,375,3476
2021-05-01,67040,SILVI,TE,938,6488
2021-05-01,67041,TERAMO,TE,4305,49330
2021-05-01,67042,TORANO NUOVO,TE,118,831
2021-05-01,67043,TORRICELLA SICURA,TE,278,2192
2021-05-01,67044,TORTORETO,TE,755,5728
2021-05-01,67045,TOSSICIA,TE,109,786
2021-05-01,67046,VALLE CASTELLANA,TE,73,300
