AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2021-06-22,67001,ALBA ADRIATICA,TE,762,5513
2021-06-22,67002,ANCARANO,TE,190,781
2021-06-22,67003,ARSITA,TE,67,415
2021-06-22,67004,ATRI,TE,800,8607
2021-06-22,67005,BASCIANO,TE,262,1658
2021-06-22,67006,BELLANTE,TE,536,4023
2021-06-22,67007,BISENTI,TE,175,1193
2021-06-22,67008,CAMPLI,TE,680,4783
2021-06-22,67009,CANZANO,TE,182,1294
2021-06-22,67010,CASTEL CASTAGNA,TE,57,210
2021-06-22,67011,CASTELLALTO,TE,746,4886
2021-06-22,67012,CASTELLI,TE,101,565
2021-06-22,67013,CASTIGLIONE MESSER RAIMONDO,TE,136,1350
2021-06-22,67014,CASTILENTI,TE,165,957
2021-06-22,67015,CELLINO ATTANASIO,TE,218,1174
2021-06-22,67016,CERMIGNANO,TE,213,1074
2021-06-22,67017,CIVITELLA DEL TRONTO,TE,547,3232
2021-06-22,67018,COLLEDARA,TE,148,1130
2021-06-22,67019,COLONNELLA,TE,378,1339
2021-06-22,67020,CONTROGUERRA,TE,133,1122
2021-06-22,67021,CORROPOLI,TE,307,2360
2021-06-22,67022,CORTINO,TE,42,323
2021-06-22,67023,CROGNALETO,TE,219,1069
2021-06-22,67024,FANO ADRIANO,TE,15,161
2021-06-22,67025,GIULIANOVA,TE,2150,15774
2021-06-22,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,491,3091
2021-06-22,67047,MARTINSICURO,TE,1383,6555
2021-06-22,67027,MONTEFINO,TE,82,570
2021-06-22,67028,MONTORIO AL VOMANO,TE,1083,6359
2021-06-22,67029,MORRO D'ORO,TE,419,1960
2021-06-22,67030,MOSCIANO SANT'ANGELO,TE,719,5501
2021-06-22,67031,NERETO,TE,472,3793
2021-06-22,67032,NOTARESCO,TE,559,3449
2021-06-22,67033,PENNA SANT'ANDREA,TE,127,967
2021-06-22,67034,PIETRACAMELA,TE,3,87
2021-06-22,67035,PINETO,TE,1041,7852
2021-06-22,67036,ROCCA SANTA MARIA,TE,70,490
2021-06-22,67037,ROSETO DEGLI ABRUZZI,TE,1713,12513
2021-06-22,67038,SANT'EGIDIO ALLA VIBRATA,TE,771,4470
2021-06-22,67039,SANT'OMERO,TE,394,3725
2021-06-22,67040,SILVI,TE,977,6622
2021-06-22,67041,TERAMO,TE,4521,52825
2021-06-22,67042,TORANO NUOVO,TE,128,887
2021-06-22,67043,TORRICELLA SICURA,TE,293,2347
2021-06-22,67044,TORTORETO,TE,819,6214
2021-06-22,67045,TOSSICIA,TE,116,846
2021-06-22,67046,VALLE CASTELLANA,TE,73,305
