AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2020-04-26,67001,ALBA ADRIATICA,TE,12,157
2020-04-26,67003,ARSITA,TE,5,50
2020-04-26,67004,ATRI,TE,76,867
2020-04-26,67005,BASCIANO,TE,3,61
2020-04-26,67006,BELLANTE,TE,6,156
2020-04-26,67007,BISENTI,TE,13,158
2020-04-26,67008,CAMPLI,TE,7,192
2020-04-26,67009,CANZANO,TE,2,34
2020-04-26,67011,CASTELLALTO,TE,5,158
2020-04-26,67012,CASTELLI,TE,2,9
2020-04-26,67013,CASTIGLIONE MESSER RAIMONDO,TE,79,448
2020-04-26,67014,CASTILENTI,TE,52,307
2020-04-26,67015,CELLINO ATTANASIO,TE,16,76
2020-04-26,67016,CERMIGNANO,TE,11,40
2020-04-26,67017,CIVITELLA DEL TRONTO,TE,1,122
2020-04-26,67018,COLLEDARA,TE,1,39
2020-04-26,67019,COLONNELLA,TE,11,31
2020-04-26,67021,CORROPOLI,TE,1,69
2020-04-26,67025,GIULIANOVA,TE,26,795
2020-04-26,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,6,157
2020-04-26,67047,MARTINSICURO,TE,7,131
2020-04-26,67027,MONTEFINO,TE,20,109
2020-04-26,67028,MONTORIO AL VOMANO,TE,9,238
2020-04-26,67029,MORRO D'ORO,TE,1,45
2020-04-26,67030,MOSCIANO SANT'ANGELO,TE,4,178
2020-04-26,67031,NERETO,TE,7,125
2020-04-26,67032,NOTARESCO,TE,15,139
2020-04-26,67033,PENNA SANT'ANDREA,TE,5,35
2020-04-26,67035,PINETO,TE,49,595
2020-04-26,67037,ROSETO DEGLI ABRUZZI,TE,25,408
2020-04-26,67038,SANT'EGIDIO ALLA VIBRATA,TE,7,118
2020-04-26,67039,SANT'OMERO,TE,1,151
2020-04-26,67040,SILVI,TE,15,285
2020-04-26,67041,TERAMO,TE,164,2998
2020-04-26,67043,TORRICELLA SICURA,TE,11,106
2020-04-26,67044,TORTORETO,TE,1,167
2020-04-26,67045,TOSSICIA,TE,2,20
2020-04-26,67046,VALLE CASTELLANA,TE,3,15
2020-04-26,67002,ANCARANO,TE,0,16
2020-04-26,67010,CASTEL CASTAGNA,TE,0,8
2020-04-26,67020,CONTROGUERRA,TE,0,22
2020-04-26,67022,CORTINO,TE,0,13
2020-04-26,67023,CROGNALETO,TE,0,16
2020-04-26,67024,FANO ADRIANO,TE,0,4
2020-04-26,67034,PIETRACAMELA,TE,0,5
2020-04-26,67036,ROCCA SANTA MARIA,TE,0,7
2020-04-26,67042,TORANO NUOVO,TE,0,21
