AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2020-12-24,67001,ALBA ADRIATICA,TE,290,2553
2020-12-24,67002,ANCARANO,TE,33,309
2020-12-24,67003,ARSITA,TE,34,288
2020-12-24,67004,ATRI,TE,512,5776
2020-12-24,67005,BASCIANO,TE,119,932
2020-12-24,67006,BELLANTE,TE,308,2316
2020-12-24,67007,BISENTI,TE,123,874
2020-12-24,67008,CAMPLI,TE,287,2657
2020-12-24,67009,CANZANO,TE,92,626
2020-12-24,67010,CASTEL CASTAGNA,TE,38,133
2020-12-24,67011,CASTELLALTO,TE,443,2951
2020-12-24,67012,CASTELLI,TE,76,376
2020-12-24,67013,CASTIGLIONE MESSER RAIMONDO,TE,117,1127
2020-12-24,67014,CASTILENTI,TE,98,749
2020-12-24,67015,CELLINO ATTANASIO,TE,75,696
2020-12-24,67016,CERMIGNANO,TE,175,703
2020-12-24,67017,CIVITELLA DEL TRONTO,TE,361,1647
2020-12-24,67018,COLLEDARA,TE,89,673
2020-12-24,67019,COLONNELLA,TE,166,624
2020-12-24,67020,CONTROGUERRA,TE,58,471
2020-12-24,67021,CORROPOLI,TE,134,1165
2020-12-24,67022,CORTINO,TE,29,206
2020-12-24,67023,CROGNALETO,TE,174,758
2020-12-24,67024,FANO ADRIANO,TE,9,83
2020-12-24,67025,GIULIANOVA,TE,1011,8627
2020-12-24,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,426,2188
2020-12-24,67047,MARTINSICURO,TE,560,2878
2020-12-24,67027,MONTEFINO,TE,55,388
2020-12-24,67028,MONTORIO AL VOMANO,TE,902,4353
2020-12-24,67029,MORRO D'ORO,TE,165,1031
2020-12-24,67030,MOSCIANO SANT'ANGELO,TE,286,2742
2020-12-24,67031,NERETO,TE,188,1841
2020-12-24,67032,NOTARESCO,TE,245,1885
2020-12-24,67033,PENNA SANT'ANDREA,TE,58,551
2020-12-24,67034,PIETRACAMELA,TE,3,61
2020-12-24,67035,PINETO,TE,572,4685
2020-12-24,67036,ROCCA SANTA MARIA,TE,53,344
2020-12-24,67037,ROSETO DEGLI ABRUZZI,TE,643,6203
2020-12-24,67038,SANT'EGIDIO ALLA VIBRATA,TE,284,1971
2020-12-24,67039,SANT'OMERO,TE,172,1994
2020-12-24,67040,SILVI,TE,494,3883
2020-12-24,67041,TERAMO,TE,2684,30808
2020-12-24,67042,TORANO NUOVO,TE,62,460
2020-12-24,67043,TORRICELLA SICURA,TE,157,1430
2020-12-24,67044,TORTORETO,TE,310,2702
2020-12-24,67045,TOSSICIA,TE,81,526
2020-12-24,67046,VALLE CASTELLANA,TE,35,155
